Entity,Code,Year,Population density,country,latitude,longitude,name
Albania,ALB,2003,112.88296,AL,41.153332,20.168331,Albania
Albania,ALB,2004,111.77478,AL,41.153332,20.168331,Albania
Albania,ALB,2005,110.680145,AL,41.153332,20.168331,Albania
Albania,ALB,2006,109.61281,AL,41.153332,20.168331,Albania
Albania,ALB,2007,108.61639,AL,41.153332,20.168331,Albania
Albania,ALB,2008,107.725914,AL,41.153332,20.168331,Albania
Albania,ALB,2009,106.95449,AL,41.153332,20.168331,Albania
Albania,ALB,2010,106.32854,AL,41.153332,20.168331,Albania
Albania,ALB,2011,105.8635,AL,41.153332,20.168331,Albania
Albania,ALB,2012,105.55441,AL,41.153332,20.168331,Albania
Albania,ALB,2013,105.365654,AL,41.153332,20.168331,Albania
Albania,ALB,2014,105.259125,AL,41.153332,20.168331,Albania
Albania,ALB,2015,105.20007,AL,41.153332,20.168331,Albania
Albania,ALB,2016,105.14832,AL,41.153332,20.168331,Albania
Albania,ALB,2017,105.08617,AL,41.153332,20.168331,Albania
Albania,ALB,2018,105.000694,AL,41.153332,20.168331,Albania
Albania,ALB,2019,104.88624,AL,41.153332,20.168331,Albania
Albania,ALB,2020,104.62956,AL,41.153332,20.168331,Albania
Albania,ALB,2021,104.18649,AL,41.153332,20.168331,Albania
Albania,ALB,2022,103.73423,AL,41.153332,20.168331,Albania
Albania,ALB,2023,103.37383,AL,41.153332,20.168331,Albania
Andorra,AND,2003,157.29575,AD,42.546245,1.601554,Andorra
Andorra,AND,2004,163.7234,AD,42.546245,1.601554,Andorra
Andorra,AND,2005,169.88298,AD,42.546245,1.601554,Andorra
Andorra,AND,2006,170.72552,AD,42.546245,1.601554,Andorra
Andorra,AND,2007,166.35532,AD,42.546245,1.601554,Andorra
Andorra,AND,2008,161.85745,AD,42.546245,1.601554,Andorra
Andorra,AND,2009,157.18936,AD,42.546245,1.601554,Andorra
Andorra,AND,2010,152.21703,AD,42.546245,1.601554,Andorra
